event_id,horizon,severity_return_component,severity_mfe_component,severity_efficiency_component,severity_score
F001,60,-1.0804698707567124,-0.6098722158619051,-0.9576827729192396,-0.8826749531792858
F003,60,-1.0262049935889326,-0.7156699345814275,-1.0318832857596358,-0.9245860713099986
M01,60,0.24457132647163904,0.32714023789458985,0.13955273008340968,0.23708809814987952
M02,60,0.09628617060346255,0.06194506384889413,0.21618067604184804,0.12480397016473492
M03,60,0.871057613757299,0.6639100163487179,0.6531578283364743,0.7293751528141638
M04,60,1.2440796850230451,1.3143493559879302,0.8537022976787617,1.137377112896579
M05,60,1.5414195115308376,1.1465393828863353,1.7380245755535855,1.475327823323586
M06,60,0.8668162442398617,0.932262335097017,0.4223759282188193,0.7404848358518993
M07,60,0.2867123345435431,0.05556012410629314,0.4479236492488618,0.2633987026328994
F011,60,1.2435625023314705,1.2052015698563945,0.9447800659974782,1.1311813793951144
F026,60,-1.246046943060199,-0.3867469138580667,-1.2374716563719605,-0.956755171096742
F008,60,-1.192861893579775,-0.5512139789513918,-1.2945737260437253,-1.012883199524964
F025,60,-0.8999538188594306,-0.426539077256969,-1.0557282353830029,-0.7940737104998008
F027,60,-0.8916549772506389,-0.5094153644466951,-1.0563940394666451,-0.8191547937213265
M08,60,0.1773157207842472,0.6444856895527363,0.11259919945705323,0.3114668699313456
F018,60,1.071010013287069,1.3953916369238433,0.6775392200194671,1.047980290076793
F016,60,1.0295024927651424,1.0432494550692533,0.662628286262925,0.9117934113657736
F017,60,1.5244294211007767,1.326541753365571,0.9263864205270514,1.259119198331133
F035,60,1.5576907876519839,1.3927920722678255,0.8986539994915415,1.2830456198037836
F036,60,1.5691736596574806,1.4198363847865028,0.8865527233033884,1.2918542559157904
F012,60,1.4197940165425365,1.2620531349261335,0.7908806041795812,1.157575918549417
F020,60,-0.5136371675801031,-0.6595518521417079,-0.7250346135624864,-0.6327412110947659
F039,60,-0.24454111971371204,-0.4686797463739104,-0.30116112869172196,-0.3381273315931148
F038,60,-0.10235601026538128,-0.32340178719779206,-0.00781533350719735,-0.14452437699012358
F019,60,-0.2084692740044403,-0.34450828715903337,-0.20566824098035472,-0.2528819340479428
F044,60,-0.2253826257468856,-0.3288445075387899,-0.25772729713912423,-0.27065147680826657
F043,60,-0.044705301043431046,-0.27105676302055304,-0.0039299317052086,-0.10656399858973091
F031,60,-0.006456355675944014,-0.4020546238800859,0.0039299317052086,-0.1348603492836071
F007,60,-0.14513726574232616,0.17317753905918318,-0.266034519778241,-0.079331415487128
F010,60,0.1933497996641615,0.08159534695586697,0.08929276278058763,0.12141263646687202
M09,60,-0.079792657955989,0.1737796653836907,-0.13162745183557872,-0.012546814802625678
M10,60,0.3818832457797579,0.5774479079525752,0.4337690987291699,0.46436675082050094
M11,60,0.18049156634811744,0.18865604636408123,0.22888509464781553,0.1993442357866714
M12,60,1.0057013236799306,0.7098125448940955,0.7779238942540116,0.8311459209426793
M13,60,1.103995487867012,4.3117250586530185,0.09231275051115269,1.8360110990103944
M14,60,1.232566235117396,0.9896049596090992,1.1959718733505305,1.1393810226923418
M15,60,0.8556387092479897,0.8507309563518766,0.5013370862918295,0.7359022506305654
F040,60,0.21416374594879667,0.009074554310539896,0.14032499944149202,0.12118776656694286
F028,60,0.006456355675944014,-0.18490047223361603,-0.05948981369605736,-0.07931131008457645
F006,60,-0.09090809095721422,-0.15963002701143905,-0.1734359201376045,-0.1413246793687526
F005,60,0.023569252382092266,0.01098850104007305,-0.06825813730728172,-0.011233461295038804
F029,60,-0.25956130284024026,-0.14133686599354156,-0.3416376680021383,-0.24751194561197334
F004,60,-0.7436894876518932,-0.3691080535159726,-0.974410479371885,-0.6957360068465835
F034,60,0.14626076527926773,0.020180499508625833,0.09706276068527085,0.08783467515772148
F023,60,-0.39616338516261024,0.1175147669489151,-0.4763533143143237,-0.25166731084267296
F024,60,-0.6735707812215019,-0.04456914501467712,-0.7190176033097377,-0.47905250984863895
F032,60,-0.41287455922760086,-0.027533064339715155,-0.5215715794508688,-0.32065973433939493
F045,60,-0.026898393730071163,0.24154048591505237,-0.06080899770566334,0.05127769815977262
F014,60,-2.18051387183331,-0.6422401124732162,-1.7427847036909918,-1.521846229332506
F013,60,-0.7108474000669158,-0.7202643853210102,-0.7916989197116973,-0.7409369016998744
F022,60,-0.6405630563450734,-0.7822852255039058,-0.7587425346312173,-0.7271969388267321
F021,60,0.03163283701044293,-0.28283653058487906,0.009980649078894763,-0.08040768149851378
F037,60,0.3259855642701212,-0.13109165732595138,0.2664008324697253,0.15376491313796503
F015,60,-1.2170479828570093,-0.18633215185652166,-1.045570784293225,-0.816316973002252
