event_id,horizon,signed_close_return_atr,signed_close_return_pct,MFE_atr,MAE_atr,signed_efficiency,net_to_path_ratio,directional_persistence,longest_directional_run,time_to_MFE,time_to_MAE,path_length_atr,high_low_range_atr,number_of_sign_changes,number_of_local_pivots,reversal_after_MFE
F019,10,0.8162132148806179,0.030656934306569204,1.0494169905607957,-0.2953914491948936,0.4585152838427921,0.4585152838427921,0.6,4,5,1,1.7801221543586911,1.3448084397556892,5,5,0
F019,20,1.7723486951693486,0.06656934306569338,1.997779011660188,-0.2953914491948936,0.45967741935483813,0.45967741935483813,0.65,6,20,1,3.8556357579122715,2.2931704608550816,8,8,0
F019,30,0.11660188784008457,0.004379562043795462,1.997779011660188,-0.2953914491948936,0.018450184501844342,0.018450184501844342,0.5,6,20,1,6.319822320932815,2.2931704608550816,13,13,1
F019,60,0.37312604108828185,0.0140145985401459,1.997779011660188,-0.8939478067740148,0.033898305084745534,0.033898305084745534,0.5333333333333333,6,20,42,11.00721821210439,2.891726818434203,29,27,1
F044,10,0.6920152091254773,0.022615250797332644,0.984790874524714,-0.20405576679340645,0.37500000000000067,0.37500000000000067,0.5,3,4,1,1.8453738910012696,1.1888466413181205,5,5,0
F044,20,1.543726235741446,0.050449405624818866,2.067173637515845,-0.20405576679340645,0.34661354581673304,0.34661354581673304,0.6,6,19,1,4.453738910012678,2.2712294043092514,9,9,0
F044,30,-0.0266159695817461,-0.0008698173383588489,2.067173637515845,-0.39036755386564886,-0.003773584905659956,-0.003773584905659956,0.5,6,19,29,7.053231939163504,2.4575411913814937,14,14,1
F044,60,0.30164765525982357,0.009857929834734746,2.067173637515845,-1.2332065906210354,0.024251069900142728,0.024251069900142728,0.5333333333333333,6,19,41,12.438529784537394,3.3003802281368806,29,27,1
F043,10,0.25362318840579723,0.007240081088908203,1.0855072463768098,-0.020289855072461525,0.09881422924901177,0.09881422924901177,0.4,2,3,1,2.56666666666667,1.1057971014492713,5,5,0
F043,20,1.2376811594202881,0.03533159571387196,2.3231884057971035,-0.020289855072461525,0.22344322344322284,0.22344322344322284,0.55,6,18,1,5.539130434782616,2.3434782608695652,9,9,1
F043,30,-0.040579710144928685,-0.0011584129742253444,2.3231884057971035,-0.4869565217391273,-0.005037783375315001,-0.005037783375315001,0.5,6,18,28,8.055072463768122,2.810144927536231,14,14,1
F043,60,1.0652173913043483,0.03040834057341445,2.3231884057971035,-1.4507246376811567,0.07128309572301425,0.07128309572301425,0.5333333333333333,6,18,40,14.943478260869574,3.7739130434782604,29,27,1
F031,10,-0.43570843570843215,-0.010764872521246374,0.2866502866502868,-0.894348894348891,-0.17117117117116942,-0.17117117117116942,0.4,2,3,7,2.5454545454545507,1.1809991809991778,5,5,0
F031,20,0.2866502866502868,0.007082152974504256,1.7428337428337477,-0.894348894348891,0.042735042735042736,0.042735042735042736,0.5,6,14,7,6.707616707616712,2.637182637182639,9,9,1
F031,30,-1.5479115479115424,-0.03824362606232282,1.7428337428337477,-1.8116298116298089,-0.1741935483870962,-0.1741935483870962,0.43333333333333335,6,14,29,8.886158886158885,3.5544635544635566,14,14,1
F031,60,1.2268632268632313,0.03031161473087831,1.7428337428337477,-2.5225225225225176,0.07273963290278745,0.07273963290278745,0.5333333333333333,6,14,36,16.866502866502874,4.2653562653562656,28,26,1
F007,10,0.38834951456310746,0.0057323015190599074,3.7475728155339914,-0.2912621359223306,0.0625,0.0625,0.6,5,5,1,6.213592233009719,4.038834951456322,3,3,1
