symbol,event_id,event_family,side,timestamp_utc,funding_rate,delta_log_oi,z_mad,funding_side,oi_side,qualification_reason
BTCUSDT,BTCUSDT-O048640,OI,OI_EXPANSION_SHOCK,2024-11-18T16:00:00Z,,0.01052720902,5.173582048,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048645,OI,OI_EXPANSION_SHOCK,2024-11-18T17:15:00Z,,0.008686050137,4.258946409,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048670,OI,OI_EXPANSION_SHOCK,2024-11-18T23:30:00Z,,0.01070017594,5.192380333,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048723,OI,OI_EXPANSION_SHOCK,2024-11-19T12:45:00Z,,0.01111398778,5.335315879,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048731,OI,OI_CONTRACTION_SHOCK,2024-11-19T14:45:00Z,,-0.0087255535,-4.279657795,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048732,OI,OI_EXPANSION_SHOCK,2024-11-19T15:00:00Z,,0.01138424259,5.446843211,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048749,OI,OI_CONTRACTION_SHOCK,2024-11-19T19:15:00Z,,-0.01165966717,-5.631624579,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048756,OI,OI_CONTRACTION_SHOCK,2024-11-19T21:00:00Z,,-0.008790605972,-4.251276053,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048758,OI,OI_CONTRACTION_SHOCK,2024-11-19T21:30:00Z,,-0.01193777518,-5.752045135,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048834,OI,OI_CONTRACTION_SHOCK,2024-11-20T16:30:00Z,,-0.01414126471,-6.808041413,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048843,OI,OI_CONTRACTION_SHOCK,2024-11-20T18:45:00Z,,-0.009077019516,-4.410029154,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048873,OI,OI_CONTRACTION_SHOCK,2024-11-21T02:15:00Z,,-0.008247880008,-4.012518355,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048881,OI,OI_CONTRACTION_SHOCK,2024-11-21T04:15:00Z,,-0.01334787427,-6.438139628,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048949,OI,OI_EXPANSION_SHOCK,2024-11-21T21:15:00Z,,0.01286204713,6.009857448,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O049002,OI,OI_EXPANSION_SHOCK,2024-11-22T10:30:00Z,,0.01139142455,5.341734077,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O049009,OI,OI_CONTRACTION_SHOCK,2024-11-22T12:15:00Z,,-0.009593845567,-4.609437968,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O049029,OI,OI_CONTRACTION_SHOCK,2024-11-22T17:15:00Z,,-0.01276338236,-6.098241465,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O049039,OI,OI_EXPANSION_SHOCK,2024-11-22T19:45:00Z,,0.009439560306,4.433675775,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O049122,OI,OI_EXPANSION_SHOCK,2024-11-23T16:30:00Z,,0.01313627157,6.239180151,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O049123,OI,OI_EXPANSION_SHOCK,2024-11-23T16:45:00Z,,0.01065096854,5.050054298,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O049203,OI,OI_EXPANSION_SHOCK,2024-11-24T12:45:00Z,,0.01649581112,7.831700028,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O049210,OI,OI_EXPANSION_SHOCK,2024-11-24T14:30:00Z,,0.01347483993,6.396465573,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O049214,OI,OI_CONTRACTION_SHOCK,2024-11-24T15:30:00Z,,-0.01057114127,-5.077601735,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O049222,OI,OI_EXPANSION_SHOCK,2024-11-24T17:30:00Z,,0.01410363324,6.7158848,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O049242,OI,OI_CONTRACTION_SHOCK,2024-11-24T22:30:00Z,,-0.008249710189,-4.005768734,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O049248,OI,OI_EXPANSION_SHOCK,2024-11-25T00:00:00Z,,0.01070935743,5.104847478,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
