representation,field,quartile,definition,support_count,rate_per_1000_parent_bars,support_inside_boundary,support_outside_boundary,valid_support,invalid_support,cap_hit_rate,sample_collapse_flag,concentration_flag,direction_imbalance_flag,up_contrast,down_contrast,third_1_contrast,third_2_contrast,third_3_contrast,equal_support_fixed_contrast,equal_support_contrast_difference,source_median,source_mean,control_median,control_mean,paired_rank_contrast,fraction_above_control,distribution_overlap
CONFIRMED_DIRECTION_CHANGE,displacement_atr,3,deterministic full-source quartile,105,31.818181818181817,97,8,423,2,0.0,NO,NO,NO,1.0,0.9615384615384616,0.9444444444444444,1.0,1.0,1.0,-0.01904761904761909,0.770109,0.9319592,-0.15083553210202336,-0.16311626746305946,0.9809523809523809,0.9904761904761905,0.40872043778194467
CONFIRMED_DIRECTION_CHANGE,displacement_atr,4,deterministic full-source quartile,107,32.42424242424242,102,5,423,2,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,0.9813084112149533,0.01869158878504673,0.802171,0.9660314579439253,-0.15083553210202336,-0.1330357971987697,1.0,1.0,0.3623073234521845
CONFIRMED_DIRECTION_CHANGE,efficiency,1,deterministic full-source quartile,105,31.818181818181817,84,21,423,2,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.752688,0.837376419047619,-0.15083553210202336,-0.1329513258980493,1.0,1.0,0.41218133230427073
CONFIRMED_DIRECTION_CHANGE,efficiency,2,deterministic full-source quartile,106,32.121212121212125,94,12,423,2,0.0,NO,NO,NO,1.0,0.9655172413793104,0.9411764705882353,1.0,1.0,1.0,-0.018867924528301883,0.760994,0.957052650943396,-0.20662947643227259,-0.21428740760463538,0.9811320754716981,0.9905660377358491,0.4296669442266989
CONFIRMED_DIRECTION_CHANGE,efficiency,3,deterministic full-source quartile,105,31.818181818181817,89,16,423,2,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.744332,0.8983081238095237,-0.06913580246913464,-0.1697639827225743,1.0,1.0,0.3853843853623549
CONFIRMED_DIRECTION_CHANGE,efficiency,4,deterministic full-source quartile,107,32.42424242424242,100,7,423,2,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,0.9813084112149533,0.01869158878504673,0.798427,0.9522684205607479,-0.15083553210202336,-0.17587947198847448,1.0,1.0,0.3846692961417807
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,1,deterministic full-source quartile,105,31.818181818181817,79,26,423,2,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.711864,0.8403861714285712,-0.17150225660864066,-0.18280949542244285,1.0,1.0,0.4536644343277678
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,2,deterministic full-source quartile,106,32.121212121212125,86,20,423,2,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.750167,0.9330924150943388,-0.15083553210202336,-0.21630905244666382,1.0,1.0,0.3721039372742125
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,3,deterministic full-source quartile,105,31.818181818181817,98,7,423,2,0.0,NO,NO,NO,1.0,0.9666666666666667,0.9459459459459459,1.0,1.0,1.0,-0.01904761904761909,0.815534,0.9544800095238096,-0.030823425803607325,-0.09722477379246158,0.9809523809523809,0.9904761904761905,0.3943625252765773
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,4,deterministic full-source quartile,107,32.42424242424242,104,3,423,2,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,0.9813084112149533,0.01869158878504673,0.752688,0.9179292897196265,-0.1819255759007755,-0.19613381576740402,1.0,1.0,0.3921762899128368
HYBRID_ORIGIN,age_bars,1,deterministic full-source quartile,0,0.0,0,0,391,34,0.002352941176470588,YES,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
HYBRID_ORIGIN,age_bars,2,deterministic full-source quartile,129,39.09090909090909,110,19,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,0.9844961240310077,0.015503875968992276,0.760356,0.9703150620155039,-0.1325757575757576,-0.157768832159641,1.0,1.0,0.3961750415084698
HYBRID_ORIGIN,age_bars,3,deterministic full-source quartile,129,39.09090909090909,117,12,391,34,0.002352941176470588,NO,NO,NO,1.0,0.971830985915493,0.9473684210526315,1.0,1.0,0.9844961240310077,0.0,0.77087,0.9071077829457361,-0.17150225660864066,-0.20289219685618273,0.9844961240310077,0.9922480620155039,0.42085562899404144
