trade_id,combo_id,scope,ref_time,ref_idx,ref_open,ref_close,ref_mid,ref_body_low,ref_body_high
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-03 20:00:00,1667,0.5773,0.5698,0.57355,0.5698,0.5773
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-03 20:00:00,1667,0.5773,0.5698,0.57355,0.5698,0.5773
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-03 20:00:00,1667,0.5773,0.5698,0.57355,0.5698,0.5773
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-03 20:00:00,1667,0.5773,0.5698,0.57355,0.5698,0.5773
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-03 20:00:00,1667,0.5773,0.5698,0.57355,0.5698,0.5773
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-03 20:00:00,1667,0.5773,0.5698,0.57355,0.5698,0.5773
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-03 20:00:00,1667,0.5773,0.5698,0.57355,0.5698,0.5773
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-03 20:00:00,1667,0.5773,0.5698,0.57355,0.5698,0.5773
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-05 08:00:00,1676,0.5724,0.5635,0.56795,0.5635,0.5724
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-05 08:00:00,1676,0.5724,0.5635,0.56795,0.5635,0.5724
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-05 08:00:00,1676,0.5724,0.5635,0.56795,0.5635,0.5724
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-05 08:00:00,1676,0.5724,0.5635,0.56795,0.5635,0.5724
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-05 08:00:00,1676,0.5724,0.5635,0.56795,0.5635,0.5724
