correction_id,direction,start_i,end_i,start_time,end_time,duration_bars,max_depth_pct,min_abs_distance_to_ema27_pct,min_abs_distance_to_ema200_pct,changed_ema27_slope,changed_ema200_slope,bars_to_update_extreme,updated_extreme
403,DOWN_TREND_PULLBACK,2006,2008,2024-05-30 08:00:00+00:00,2024-05-30 16:00:00+00:00,3,1.2786002691790126,1.2522940371474613,4.343424324790239,False,False,6.0,True
404,DOWN_TREND_PULLBACK,2010,2010,2024-05-31 00:00:00+00:00,2024-05-31 00:00:00+00:00,1,0.7166853303471401,1.3765715883293381,4.629183106716905,False,False,1.0,True
405,DOWN_TREND_PULLBACK,2012,2012,2024-05-31 08:00:00+00:00,2024-05-31 08:00:00+00:00,1,0.5798394290811755,0.9049972170243092,4.265755215148532,False,False,2.0,True
406,DOWN_TREND_PULLBACK,2014,2014,2024-05-31 16:00:00+00:00,2024-05-31 16:00:00+00:00,1,0.6048387096774149,1.1033895081824598,4.57545816005576,False,False,1.0,True
407,DOWN_TREND_PULLBACK,2016,2018,2024-06-01 00:00:00+00:00,2024-06-01 08:00:00+00:00,3,0.3579418344518994,0.8671278565801012,4.500672633226433,False,False,8.0,True
408,DOWN_TREND_PULLBACK,2020,2022,2024-06-01 16:00:00+00:00,2024-06-02 00:00:00+00:00,3,0.8695652173913077,0.10244463584133448,3.533877937985217,True,False,2.0,True
409,DOWN_TREND_PULLBACK,2024,2024,2024-06-02 08:00:00+00:00,2024-06-02 08:00:00+00:00,1,0.1991591059968923,0.17783301841793842,3.3807800570110076,True,False,1.0,True
410,DOWN_TREND_PULLBACK,2027,2029,2024-06-02 20:00:00+00:00,2024-06-03 04:00:00+00:00,3,1.9105416947628697,0.21936946038312513,3.0561872276174524,True,False,,False
411,DOWN_TREND_PULLBACK,2051,2051,2024-06-06 20:00:00+00:00,2024-06-06 20:00:00+00:00,1,0.9251101321585862,0.07298532970446321,1.6878069548266734,True,False,5.0,True
412,DOWN_TREND_PULLBACK,2057,2057,2024-06-07 20:00:00+00:00,2024-06-07 20:00:00+00:00,1,0.02226675573368715,2.2752574156646754,3.5866503968657995,False,False,20.0,True
413,DOWN_TREND_PULLBACK,2061,2061,2024-06-08 12:00:00+00:00,2024-06-08 12:00:00+00:00,1,0.27598896044157745,4.1190162377612385,6.2215950240739595,False,False,1.0,True
414,DOWN_TREND_PULLBACK,2063,2063,2024-06-08 20:00:00+00:00,2024-06-08 20:00:00+00:00,1,0.5293440736478767,3.3858871485692763,5.93225685264658,False,False,2.0,True
415,DOWN_TREND_PULLBACK,2065,2066,2024-06-09 04:00:00+00:00,2024-06-09 08:00:00+00:00,2,1.148105625717567,1.9572084476049953,4.975386790794838,False,False,10.0,True
416,DOWN_TREND_PULLBACK,2068,2068,2024-06-09 16:00:00+00:00,2024-06-09 16:00:00+00:00,1,1.1826245167159515,0.7680433085558398,3.93901922466822,False,False,3.0,True
417,DOWN_TREND_PULLBACK,2072,2072,2024-06-10 08:00:00+00:00,2024-06-10 08:00:00+00:00,1,2.500573526038074,0.015452478547414905,3.3560134434046445,True,False,4.0,True
418,DOWN_TREND_PULLBACK,2080,2080,2024-06-11 16:00:00+00:00,2024-06-11 16:00:00+00:00,1,0.7395038167938911,4.036374324123455,8.209274787513115,False,False,17.0,True
419,DOWN_TREND_PULLBACK,2082,2083,2024-06-12 00:00:00+00:00,2024-06-12 04:00:00+00:00,2,0.9478672985782,2.4978488780724293,7.191079363406903,False,False,8.0,True
420,DOWN_TREND_PULLBACK,2085,2085,2024-06-12 12:00:00+00:00,2024-06-12 12:00:00+00:00,1,3.6226770171724363,0.942725743257937,3.9236268352094803,True,False,6.0,True
421,DOWN_TREND_PULLBACK,2087,2087,2024-06-12 20:00:00+00:00,2024-06-12 20:00:00+00:00,1,1.0385414262635597,0.34785224014883553,4.417868528037787,True,False,1.0,True
