entry_variant,signal_time,entry_time,direction,scope,executed,blocked,block_reason,move_id,zone,signal_number_in_move
ENTRY_T2,2023-12-02 12:00:00,2023-12-02 16:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,99.0
ENTRY_T2,2023-12-03 04:00:00,2023-12-03 08:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_5_LATE_MOVE,100.0
ENTRY_T4,2023-12-03 04:00:00,2023-12-03 08:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_5_LATE_MOVE,101.0
ENTRY_T1,2023-12-04 12:00:00,2023-12-04 16:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_5_LATE_MOVE,102.0
ENTRY_T2,2023-12-04 16:00:00,2023-12-04 20:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_5_LATE_MOVE,103.0
ENTRY_T2,2023-12-04 20:00:00,2023-12-05 00:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_5_LATE_MOVE,104.0
ENTRY_T4,2023-12-04 20:00:00,2023-12-05 00:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_5_LATE_MOVE,105.0
ENTRY_T1,2023-12-05 04:00:00,2023-12-05 08:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_5_LATE_MOVE,106.0
ENTRY_T1,2023-12-05 08:00:00,2023-12-05 12:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_5_LATE_MOVE,107.0
ENTRY_T2,2023-12-05 08:00:00,2023-12-05 12:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_5_LATE_MOVE,108.0
ENTRY_T4,2023-12-05 08:00:00,2023-12-05 12:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_5_LATE_MOVE,109.0
ENTRY_T1,2023-12-05 12:00:00,2023-12-05 16:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_5_LATE_MOVE,110.0
ENTRY_T2,2023-12-05 12:00:00,2023-12-05 16:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_5_LATE_MOVE,111.0
ENTRY_T4,2023-12-05 12:00:00,2023-12-05 16:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_5_LATE_MOVE,112.0
ENTRY_T2,2023-12-05 20:00:00,2023-12-06 00:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_5_LATE_MOVE,113.0
ENTRY_T1,2023-12-11 00:00:00,2023-12-11 04:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_6_EXHAUSTION_OR_CHOP,114.0
ENTRY_T1,2023-12-11 04:00:00,2023-12-11 08:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_6_EXHAUSTION_OR_CHOP,115.0
ENTRY_T1,2023-12-11 08:00:00,2023-12-11 12:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_6_EXHAUSTION_OR_CHOP,116.0
ENTRY_T1,2023-12-11 12:00:00,2023-12-11 16:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_6_EXHAUSTION_OR_CHOP,117.0
ENTRY_A,2023-12-11 20:00:00,2023-12-12 00:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_6_EXHAUSTION_OR_CHOP,118.0
ENTRY_T1,2023-12-12 12:00:00,2023-12-12 16:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_6_EXHAUSTION_OR_CHOP,119.0
ENTRY_T1,2023-12-12 16:00:00,2023-12-12 20:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_6_EXHAUSTION_OR_CHOP,120.0
ENTRY_T1,2023-12-12 20:00:00,2023-12-13 00:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_6_EXHAUSTION_OR_CHOP,121.0
ENTRY_T2,2023-12-12 20:00:00,2023-12-13 00:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_6_EXHAUSTION_OR_CHOP,122.0
ENTRY_T4,2023-12-12 20:00:00,2023-12-13 00:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_6_EXHAUSTION_OR_CHOP,123.0
ENTRY_A,2023-12-13 04:00:00,2023-12-13 08:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_6_EXHAUSTION_OR_CHOP,124.0
ENTRY_T1,2023-12-13 04:00:00,2023-12-13 08:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_6_EXHAUSTION_OR_CHOP,125.0
ENTRY_T2,2023-12-13 04:00:00,2023-12-13 08:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_6_EXHAUSTION_OR_CHOP,126.0
