dt,backbone_state,direction,updates_directional_extreme_h5,forward_mfe_pct_h5,forward_mae_pct_h5,updates_directional_extreme_h10,forward_mfe_pct_h10,forward_mae_pct_h10,updates_directional_extreme_h20,forward_mfe_pct_h20,forward_mae_pct_h20
2024-03-23 16:00:00,1,SHORT,1.0,1.2065407207493333,-2.4607080488966435,1.0,1.2065407207493333,-4.095888236227962,1.0,1.2065407207493333,-8.54103826004127
2024-03-23 20:00:00,1,SHORT,0.0,0.12836970474968276,-3.5622593068035937,0.0,0.12836970474968276,-6.5949935815147676,0.0,0.12836970474968276,-9.70795892169448
2024-03-24 00:00:00,1,SHORT,0.0,0.4146730462520011,-3.381180223285486,0.0,0.4146730462520011,-6.602870813397129,0.0,0.4146730462520011,-9.043062200956934
2024-03-24 04:00:00,1,SHORT,0.0,2.007213423239773,-1.6465422612513647,0.0,2.007213423239773,-4.814175944801622,0.0,2.007213423239773,-7.213423239767905
2024-03-24 08:00:00,1,SHORT,1.0,1.7452830188679243,-3.0974842767295505,1.0,1.7452830188679243,-5.094339622641507,1.0,1.7452830188679243,-7.499999999999994
2024-03-24 12:00:00,1,SHORT,1.0,1.6060462919225298,-3.2435836876082433,1.0,1.6060462919225298,-7.179971658006609,1.0,1.6060462919225298,-7.652338214454413
2024-03-24 16:00:00,1,SHORT,0.0,0.3000631711939376,-4.911560328490211,0.0,0.3000631711939376,-7.975363234365128,0.0,0.4895767530006304,-7.975363234365128
2024-03-24 20:00:00,1,SHORT,0.0,1.3760049474335216,-3.3395176252319034,0.0,1.3760049474335216,-5.705009276437837,1.0,2.5819418676561607,-5.705009276437837
2024-03-25 00:00:00,1,SHORT,1.0,1.3912505796877428,-3.323543051476266,1.0,1.3912505796877428,-5.688669036945423,1.0,2.59700108208379,-5.688669036945423
2024-03-25 04:00:00,1,SHORT,1.0,0.6541037221616541,-4.095935212583708,1.0,0.6541037221616541,-6.4787416290297415,1.0,1.8688677776047362,-6.4787416290297415
2024-03-25 08:00:00,1,SHORT,1.0,0.685038144169385,-5.978514712751049,1.0,0.685038144169385,-6.445586174684726,1.0,1.8994239451969468,-6.445586174684726
2024-03-25 12:00:00,1,SHORT,0.0,1.2243047158403864,-3.340386940749699,0.0,2.2370012091898315,-3.340386940749699,1.0,4.761185006045945,-3.340386940749699
2024-03-25 16:00:00,1,SHORT,1.0,1.9831730769230753,-2.719350961538462,1.0,3.9513221153846136,-2.719350961538462,1.0,5.33353365384615,-2.719350961538462
2024-03-25 20:00:00,1,SHORT,1.0,0.7613826709304103,-4.111466423024216,1.0,3.5937262067915268,-4.111466423024216,1.0,4.050555809349773,-4.111466423024216
2024-03-26 00:00:00,1,SHORT,1.0,2.1471471471471606,-2.6576576576576483,1.0,5.3903903903903965,-2.6576576576576483,1.0,5.3903903903903965,-2.6576576576576483
2024-03-26 04:00:00,1,SHORT,1.0,3.0063997618693414,-1.7562137222800893,1.0,6.221163863670197,-1.7562137222800893,1.0,6.221163863670197,-1.7562137222800893
2024-03-26 08:00:00,1,SHORT,1.0,4.347826086956519,-0.28098195800059345,1.0,6.817509612540674,-0.28098195800059345,1.0,6.817509612540674,-0.28098195800059345
2024-03-26 12:00:00,1,SHORT,1.0,3.574660633484171,-1.2066365007541489,1.0,4.962292609351439,-1.2066365007541489,1.0,4.962292609351439,-1.2066365007541489
2024-03-26 16:00:00,1,SHORT,1.0,3.667072428484481,-2.0998174071819897,1.0,4.123554473524043,-2.0998174071819897,1.0,4.123554473524043,-2.0998174071819897
2024-03-26 20:00:00,1,SHORT,1.0,5.248120300751886,-0.9022556390977451,1.0,5.248120300751886,-0.9022556390977451,1.0,5.248120300751886,-0.9022556390977451
2024-03-27 00:00:00,1,SHORT,1.0,4.904920012073646,-0.4527618472683373,1.0,4.904920012073646,-0.4527618472683373,1.0,4.904920012073646,-0.980984002414739
2024-03-27 04:00:00,1,SHORT,1.0,2.8373168851195025,-2.6368542791056293,1.0,2.8373168851195025,-2.6368542791056293,1.0,2.8373168851195025,-3.1765612952968487
2024-03-27 08:00:00,1,SHORT,1.0,4.108963628062703,-1.2935626236493611,1.0,4.108963628062703,-1.2935626236493611,1.0,4.108963628062703,-1.826206056916757
2024-03-27 12:00:00,1,SHORT,1.0,0.5837803723572162,-4.086462606500461,1.0,0.5837803723572162,-4.086462606500461,1.0,0.5837803723572162,-5.5695803092458185
2024-03-27 16:00:00,1,SHORT,0.0,1.504109164211512,-2.2949294464257903,0.0,1.535121724298344,-2.2949294464257903,0.0,1.535121724298344,-3.7525197705070554
2024-03-27 20:00:00,1,SHORT,1.0,1.9450447669033737,-1.5745600493979601,1.0,1.975918493362154,-3.087372645878343,1.0,1.975918493362154,-3.2880518678604482
2024-03-28 00:00:00,1,SHORT,0.0,0.06251953735543403,-2.8446389496717717,1.0,0.7502344482650869,-4.376367614879636,1.0,0.7502344482650869,-4.579556111284775
2024-03-28 04:00:00,1,SHORT,0.0,1.443488943488938,-1.0442260442260485,1.0,2.4877149877149862,-2.549140049140041,1.0,2.4877149877149862,-2.748771498771503
2024-03-28 08:00:00,1,SHORT,1.0,2.5625287709068494,-0.9667024704618818,1.0,2.5625287709068494,-2.6699401565137464,1.0,2.5625287709068494,-2.6699401565137464
2024-03-28 12:00:00,1,SHORT,1.0,3.0238240684178432,-0.3512522907758046,1.0,3.0238240684178432,-2.1838729383017683,1.0,3.0238240684178432,-2.1838729383017683
2024-03-28 16:00:00,1,SHORT,1.0,2.3527602644933077,-2.6910656620021465,1.0,2.3527602644933077,-2.8909733968937474,1.0,2.3527602644933077,-2.8909733968937474
2024-03-28 20:00:00,1,SHORT,1.0,2.4727384426355403,-2.564890185839339,1.0,2.4727384426355403,-2.7645522961142706,1.0,5.436952849024725,-2.7645522961142706
2024-03-29 00:00:00,1,SHORT,1.0,1.9153537225826331,-3.151065801668208,1.0,1.9153537225826331,-3.3518690145196253,1.0,4.896509113376576,-3.3518690145196253
2024-03-29 04:00:00,1,SHORT,0.0,0.10975227343995514,-4.907494512386327,0.0,0.10975227343995514,-4.907494512386327,1.0,5.142677955471943,-4.907494512386327
2024-03-29 08:00:00,1,SHORT,0.0,1.5030674846625813,-2.622699386503068,0.0,1.595092024539889,-2.622699386503068,1.0,7.208588957055221,-2.622699386503068
2024-03-29 12:00:00,1,SHORT,1.0,1.123941493456501,-3.017705927636653,1.0,1.2163202463433438,-3.017705927636653,1.0,6.851424172440336,-3.017705927636653
2024-03-29 16:00:00,1,SHORT,1.0,0.8950617283950659,-3.2561728395061738,1.0,0.9876543209876654,-3.2561728395061738,1.0,9.629629629629632,-3.2561728395061738
2024-03-29 20:00:00,1,SHORT,0.0,2.7848863465301763,-0.722565106126754,1.0,3.4171308143910966,-0.722565106126754,1.0,11.847057052536504,-0.722565106126754
2024-03-30 00:00:00,1,SHORT,1.0,2.4924012158054833,-0.5015197568389012,1.0,2.4924012158054833,-0.5015197568389012,1.0,13.024316109422493,-0.5015197568389012
2024-03-30 04:00:00,1,SHORT,1.0,1.3681783243658754,-1.3989239046887005,1.0,1.3681783243658754,-1.3989239046887005,1.0,12.02152190622597,-1.3989239046887005
2024-03-30 08:00:00,1,SHORT,1.0,2.5220297781829317,-0.06077180188391916,1.0,2.5220297781829317,-0.06077180188391916,1.0,13.050744454573074,-0.06077180188391916
