model,k,seed,silhouette,inertia,min_cluster_fraction,degenerate,cluster_1_size,state_1_median_dwell,cluster_2_size,state_2_median_dwell,cluster_3_size,state_3_median_dwell,cluster_4_size,state_4_median_dwell,cluster_5_size,state_5_median_dwell,cluster_6_size,state_6_median_dwell
MODEL_RAW,6,104,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,105,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,106,0.31117915452440165,7246.530376804568,0.020146520146520148,True,1493,11.0,770,13.0,680.0,12.0,166.0,17.0,66.0,11.0,101.0,7.0
MODEL_RAW,6,107,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,108,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,109,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,110,0.3339019105360693,7514.422765377309,0.020146520146520148,True,1479,22.5,1017,14.5,505.0,15.0,66.0,11.0,107.0,20.0,102.0,7.0
MODEL_RAW,6,111,0.3723753254469408,6847.477635708108,0.02197802197802198,True,1643,18.0,299,9.5,629.0,12.0,462.0,15.0,72.0,13.0,171.0,33.0
MODEL_RAW,6,112,0.3727233711441261,6846.981198891182,0.021672771672771672,True,1651,18.5,300,9.5,629.0,12.0,453.0,16.0,71.0,12.0,172.0,33.5
MODEL_RAW,6,113,0.3708353812003883,6851.54484355541,0.02197802197802198,True,1640,20.5,300,9.5,601.0,12.0,491.0,14.5,72.0,13.0,172.0,33.5
MODEL_RAW,6,114,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,115,0.3708353812003883,6851.54484355541,0.02197802197802198,True,1640,20.5,300,9.5,601.0,12.0,491.0,14.5,72.0,13.0,172.0,33.5
MODEL_RAW,6,116,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,117,0.3727233711441261,6846.981198891182,0.021672771672771672,True,1651,18.5,300,9.5,629.0,12.0,453.0,16.0,71.0,12.0,172.0,33.5
MODEL_RAW,6,118,0.3723753254469408,6847.477635708108,0.02197802197802198,True,1643,18.0,299,9.5,629.0,12.0,462.0,15.0,72.0,13.0,171.0,33.0
MODEL_RAW,6,119,0.3723753254469408,6847.023338783703,0.021672771672771672,True,1643,18.0,299,9.5,629.0,12.0,462.0,15.0,71.0,12.0,172.0,33.5
MODEL_RAW,6,120,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,121,0.3727233711441261,6846.981198891182,0.021672771672771672,True,1651,18.5,300,9.5,629.0,12.0,453.0,16.0,71.0,12.0,172.0,33.5
MODEL_RAW,6,122,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,123,0.3708353812003883,6851.773008599883,0.021672771672771672,True,1640,20.5,300,9.5,602.0,12.0,491.0,14.5,71.0,13.0,172.0,33.5
MODEL_RAW,6,124,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,125,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,126,0.3708353812003883,6851.769663215103,0.021672771672771672,True,1634,18.0,306,8.5,602.0,12.0,491.0,14.5,71.0,13.0,172.0,33.5
MODEL_RAW,6,127,0.3727233711441261,6846.981198891182,0.021672771672771672,True,1651,18.5,300,9.5,629.0,12.0,453.0,16.0,71.0,12.0,172.0,33.5
MODEL_RAW,6,128,0.3723753254469408,6847.023338783703,0.021672771672771672,True,1643,18.0,299,9.5,629.0,12.0,462.0,15.0,71.0,12.0,172.0,33.5
MODEL_RAW,6,129,0.32046097943539076,7258.072270657374,0.020146520146520148,True,1517,13.5,783,14.0,699.0,12.0,66.0,11.0,109.0,20.0,102.0,7.0
MODEL_ALIGNED,2,100,0.6514297204604832,17355.60548561498,0.08852258852258853,False,2986,157.0,290,7.5,,,,,,,,
MODEL_ALIGNED,2,101,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,2,102,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,2,103,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,2,104,0.654557076495453,17355.3128406245,0.08699633699633699,False,2991,196.5,285,8.0,,,,,,,,
MODEL_ALIGNED,2,105,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,2,106,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,2,107,0.6514297204604832,17355.60548561498,0.08852258852258853,False,2986,157.0,290,7.5,,,,,,,,
MODEL_ALIGNED,2,108,0.6514297204604832,17355.60548561498,0.08852258852258853,False,2986,157.0,290,7.5,,,,,,,,
MODEL_ALIGNED,2,109,0.6514297204604832,17355.60548561498,0.08852258852258853,False,2986,157.0,290,7.5,,,,,,,,
MODEL_ALIGNED,2,110,0.6514297204604832,17355.60548561498,0.08852258852258853,False,2986,157.0,290,7.5,,,,,,,,
MODEL_ALIGNED,2,111,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,2,112,0.654557076495453,17355.3128406245,0.08699633699633699,False,2991,196.5,285,8.0,,,,,,,,
MODEL_ALIGNED,2,113,0.6514297204604832,17355.60548561498,0.08852258852258853,False,2986,157.0,290,7.5,,,,,,,,
MODEL_ALIGNED,2,114,0.6514297204604832,17355.60548561498,0.08852258852258853,False,2986,157.0,290,7.5,,,,,,,,
MODEL_ALIGNED,2,115,0.6514297204604832,17355.60548561498,0.08852258852258853,False,2986,157.0,290,7.5,,,,,,,,
MODEL_ALIGNED,2,116,0.6514297204604832,17355.60548561498,0.08852258852258853,False,2986,157.0,290,7.5,,,,,,,,
MODEL_ALIGNED,2,117,0.6514297204604832,17355.60548561498,0.08852258852258853,False,2986,157.0,290,7.5,,,,,,,,
MODEL_ALIGNED,2,118,0.654557076495453,17355.3128406245,0.08699633699633699,False,2991,196.5,285,8.0,,,,,,,,
MODEL_ALIGNED,2,119,0.6514297204604832,17355.60548561498,0.08852258852258853,False,2986,157.0,290,7.5,,,,,,,,
MODEL_ALIGNED,2,120,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,2,121,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,2,122,0.654557076495453,17355.33990745755,0.0873015873015873,False,2990,158.0,286,7.0,,,,,,,,
MODEL_ALIGNED,2,123,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,2,124,0.654557076495453,17355.3128406245,0.08699633699633699,False,2991,196.5,285,8.0,,,,,,,,
MODEL_ALIGNED,2,125,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,2,126,0.6514297204604832,17355.60548561498,0.08852258852258853,False,2986,157.0,290,7.5,,,,,,,,
MODEL_ALIGNED,2,127,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,2,128,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,2,129,0.6196186831763484,17354.760111612926,0.10531135531135531,False,2931,145.0,345,15.5,,,,,,,,
MODEL_ALIGNED,3,100,0.32647135893322166,13135.257488572277,0.06776556776556776,False,1537,16.0,1517,17.0,222.0,111.0,,,,,,
MODEL_ALIGNED,3,101,0.327832427268278,13135.516026618072,0.06776556776556776,False,1588,16.5,1466,16.0,222.0,111.0,,,,,,
MODEL_ALIGNED,3,102,0.6387869282965989,13046.705410069499,0.03724053724053724,True,2971,342.5,122,8.0,183.0,27.0,,,,,,
MODEL_ALIGNED,3,103,0.32794359222603814,13286.473830424635,0.05463980463980464,False,1794,19.0,1303,16.0,179.0,27.0,,,,,,
MODEL_ALIGNED,3,104,0.6399721702212843,13041.40087379818,0.03540903540903541,True,2971,342.5,116,7.0,189.0,28.5,,,,,,
MODEL_ALIGNED,3,105,0.3341513615630835,13296.220241491912,0.058302808302808304,False,1854,18.0,1231,13.0,191.0,9.0,,,,,,
MODEL_ALIGNED,3,106,0.327832427268278,13135.516026618072,0.06776556776556776,False,1588,16.5,1466,16.0,222.0,111.0,,,,,,
MODEL_ALIGNED,3,107,0.327832427268278,13135.516026618072,0.06776556776556776,False,1588,16.5,1466,16.0,222.0,111.0,,,,,,
MODEL_ALIGNED,3,108,0.32794359222603814,13286.473830424635,0.05463980463980464,False,1794,19.0,1303,16.0,179.0,27.0,,,,,,
MODEL_ALIGNED,3,109,0.6426710211177792,13042.327405235204,0.035103785103785104,True,2973,343.0,115,7.0,188.0,28.0,,,,,,
MODEL_ALIGNED,3,110,0.6426710211177792,13042.327405235204,0.035103785103785104,True,2973,343.0,115,7.0,188.0,28.0,,,,,,
MODEL_ALIGNED,3,111,0.6387869282965989,13046.705410069499,0.03724053724053724,True,2971,342.5,122,8.0,183.0,27.0,,,,,,
MODEL_ALIGNED,3,112,0.6387869282965989,13046.705410069499,0.03724053724053724,True,2971,342.5,122,8.0,183.0,27.0,,,,,,
MODEL_ALIGNED,3,113,0.6426710211177792,13042.327405235204,0.035103785103785104,True,2973,343.0,115,7.0,188.0,28.0,,,,,,
MODEL_ALIGNED,3,114,0.3341513615630835,13296.220241491912,0.058302808302808304,False,1854,18.0,1231,13.0,191.0,9.0,,,,,,
MODEL_ALIGNED,3,115,0.32794359222603814,13286.473830424635,0.05463980463980464,False,1794,19.0,1303,16.0,179.0,27.0,,,,,,
MODEL_ALIGNED,3,116,0.3341513615630835,13296.220241491912,0.058302808302808304,False,1854,18.0,1231,13.0,191.0,9.0,,,,,,
MODEL_ALIGNED,3,117,0.44322937160248727,13429.981642783261,0.061660561660561664,False,2511,45.0,563,10.5,202.0,101.0,,,,,,
MODEL_ALIGNED,3,118,0.327832427268278,13135.516026618072,0.06776556776556776,False,1588,16.5,1466,16.0,222.0,111.0,,,,,,
MODEL_ALIGNED,3,119,0.6426710211177792,13042.327405235204,0.035103785103785104,True,2973,343.0,115,7.0,188.0,28.0,,,,,,
MODEL_ALIGNED,3,120,0.32647135893322166,13135.257488572277,0.06776556776556776,False,1537,16.0,1517,17.0,222.0,111.0,,,,,,
MODEL_ALIGNED,3,121,0.6387869282965989,13046.705410069499,0.03724053724053724,True,2971,342.5,122,8.0,183.0,27.0,,,,,,
MODEL_ALIGNED,3,122,0.44322937160248727,13429.981642783261,0.061660561660561664,False,2511,45.0,563,10.5,202.0,101.0,,,,,,
MODEL_ALIGNED,3,123,0.6387869282965989,13046.705410069499,0.03724053724053724,True,2971,342.5,122,8.0,183.0,27.0,,,,,,
MODEL_ALIGNED,3,124,0.327832427268278,13135.516026618072,0.06776556776556776,False,1588,16.5,1466,16.0,222.0,111.0,,,,,,
MODEL_ALIGNED,3,125,0.6387869282965989,13046.705410069499,0.03724053724053724,True,2971,342.5,122,8.0,183.0,27.0,,,,,,
MODEL_ALIGNED,3,126,0.6399721702212843,13041.40087379818,0.03540903540903541,True,2971,342.5,116,7.0,189.0,28.5,,,,,,
MODEL_ALIGNED,3,127,0.327832427268278,13135.516026618072,0.06776556776556776,False,1588,16.5,1466,16.0,222.0,111.0,,,,,,
