symbol,representation,geometry,bin,support_count,support_concentration,distribution_distance,rank_order_agreement,up_support,down_support,third_1_support,third_2_support,third_3_support,paired_rank_contrast,fraction_above_control,distribution_overlap,equal_support_fixed_contrast
ADAUSDT,HYBRID_ORIGIN,displacement_atr,Q3,97,0.36082474226804123,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,42,55,32,30,35,1.0,1.0,0.3748011568449205,1.0
ADAUSDT,HYBRID_ORIGIN,displacement_atr,Q4,99,0.35353535353535354,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,44,55,31,33,35,0.9797979797979798,0.98989898989899,0.42473340825684663,1.0
ADAUSDT,HYBRID_ORIGIN,efficiency,<0.25,234,0.34615384615384615,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,107,127,81,76,77,1.0,1.0,0.41105238668357535,0.9914529914529915
ADAUSDT,HYBRID_ORIGIN,efficiency,0.25-0.50,135,0.34074074074074073,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,53,82,43,46,46,0.9851851851851852,0.9925925925925926,0.3802246953318515,0.9851851851851852
ADAUSDT,HYBRID_ORIGIN,efficiency,0.50-0.75,22,0.36363636363636365,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,13,9,6,8,8,1.0,1.0,0.49112208407686125,1.0
ADAUSDT,HYBRID_ORIGIN,efficiency,>=0.75,0,0.0,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,0,0,0,0,0,0.0,0.0,0.0,0.0
ADAUSDT,HYBRID_ORIGIN,distance_to_boundary_atr,Q1,97,0.35051546391752575,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,43,54,33,34,30,1.0,1.0,0.39611536184687707,1.0
ADAUSDT,HYBRID_ORIGIN,distance_to_boundary_atr,Q2,98,0.336734693877551,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,50,48,33,33,32,1.0,1.0,0.40594543529852756,1.0
ADAUSDT,HYBRID_ORIGIN,distance_to_boundary_atr,Q3,97,0.38144329896907214,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,39,58,37,26,34,1.0,1.0,0.3968868802230395,1.0
ADAUSDT,HYBRID_ORIGIN,distance_to_boundary_atr,Q4,99,0.37373737373737376,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,41,58,27,37,35,0.9797979797979798,0.98989898989899,0.42037785922636317,1.0
